x,y
-125.66370614359172,4.898587196589413e-15
-125.57990240491644,0.0837056799087239
-125.49609866624115,0.16682383322528854
-125.41229492756587,0.2487710571816012
-125.32849118889058,0.32897216771273263
-125.2446874502153,0.4068642366493074
-125.16088371154001,0.48190054288628137
-125.07707997286472,0.5535544097950277
-124.99327623418944,0.6213229019440977
-124.90947249551415,0.6847303551815345
-124.82566875683887,0.7433317153012385
-124.74186501816358,0.7967156618594325
-124.6580612794883,0.8445074952152885
-124.57425754081301,0.886371766531702
-124.49045380213772,0.9220146322763543
-124.40665006346244,0.9511859166969139
-124.32284632478715,0.9736808677939577
-124.23904258611186,0.9893415944665098
-124.15523884743658,0.9980581747429357
-124.07143510876129,0.9997694273185659
-123.987631370086,0.9944633409846609
-123.9038276314107,0.9821771589345691
-123.82002389273542,0.9629971173553535
-123.73622015406013,0.9370578401396649
-123.65241641538485,0.9045413939663961
-123.56861267670956,0.8656760103824388
-123.48480893803428,0.8207344838552023
-123.40100519935899,0.7700322570398991
-123.3172014606837,0.71392520670102
-123.23339772200842,0.6528071458285244
-123.14959398333313,0.5871070594812835
-123.06579024465785,0.5172860937592745
-122.98198650598256,0.44383431903880055
-122.89818276730728,0.36726729018945065
-122.81437902863199,0.28812242791648995
-122.7305752899567,0.206955246627883
-122.64677155128142,0.12433545530239044
-122.56296781260613,0.040842958726579975
-122.47916407393085,-0.04293621283210257
-122.39536033525556,-0.12641401694675064
-122.31155659658027,-0.20900452647567577
-122.22775285790499,-0.2901280421599898
-122.1439491192297,-0.3692151615079435
-122.06014538055442,-0.44571077540669674
-121.97634164187913,-0.5190779644094725
-121.89253790320384,-0.5888017673502216
-121.80873416452856,-0.6543927958340525
-121.72493042585327,-0.7153906692334735
-121.64112668717799,-0.7713672460803537
-121.5573229485027,-0.8219296291726013
-121.47351920982742,-0.8667229233028446
-121.38971547115213,-0.905432726252735
-121.30591173247684,-0.9377873355686882
-121.22210799380156,-0.9635596556298024
-121.13830425512627,-0.9825687916223215
-121.05450051645099,-0.9946813192326067
-120.9706967777757,-0.9998122211466957
-120.88689303910041,-0.9979254837831975
-120.80308930042513,-0.9890343500710826
-120.71928556174984,-0.9732012264981305
-120.63548182307456,-0.9505372450824563
-120.55167808439927,-0.921201483341623
-120.46787434572397,-0.8853998477343331
-120.38407060704868,-0.8433836284118149
-120.3002668683734,-0.7954477354229469
-120.21646312969811,-0.7419286287532444
-120.13265939102283,-0.6832019567265856
-120.04885565234754,-0.6196799193456705
-119.96505191367226,-0.5518083750778074
-119.88124817499697,-0.4800637113933741
-119.79744443632168,-0.40494950102250943
-119.7136406976464,-0.32699296739962896
-119.62983695897111,-0.24674128410465643
-119.54603322029583,-0.16475773427503687
-119.46222948162054,-0.08161775694545266
-119.37842574294525,0.002095091934183272
-119.29462200426997,0.08579323545301594
-119.21081826559468,0.16888919991648974
-119.1270145269194,0.25079973829911917
-119.04321078824411,0.33094992403044987
-118.95940704956882,0.4087771863801011
-118.87560331089354,0.48373525911769444
-118.79179957221825,0.5552980147321938
-118.70799583354297,0.6229631572984334
-118.62419209486768,0.6862557480707641
-118.5403883561924,0.7447315390578231
-118.45658461751711,0.797980091180212
-118.37278087884182,0.8456276551248647
-118.28897714016654,0.8873397946755127
-118.20517340149125,0.9228237341062031
-118.12136966281597,0.9518304131616143
-118.03756592414068,0.9741562352003509
-117.9537621854654,0.9896444962310736
-117.86995844679011,0.9981864848111217
-117.78615470811482,0.9997222450874859
-117.70235096943954,0.9942409976243795
-117.61854723076425,0.9817812150636384
-117.53474349208896,0.962430352086891
-117.45093975341368,0.9363242315748829
-117.36713601473839,0.9036460912724782
-117.2833322760631,0.8646252976507544
-117.1995285373878,0.8195357359935305
-117.11572479871253,0.7686938880082976
-117.03192106003723,0.7124566104545411
-116.94811732136196,0.6512186303815172
-116.86431358268666,0.5854097745558026
-116.78050984401138,0.5154919525257304
-116.69670610533609,0.4419559144978825
-116.6129023666608,0.36531780678240355
-116.52909862798552,0.28611554898408414
-116.44529488931023,0.20490505836762984
-116.36149115063495,0.12225634789812377
-116.27768741195966,0.03874952534437029
-116.19388367328438,-0.045029278472757464
-116.11007993460909,-0.1284920237075152
-116.0262761959338,-0.21105288891584925
-115.94247245725852,-0.2921323829110915
-115.85866871858323,-0.37116141218784815
-115.77486497990795,-0.4475852753650078
-115.69106124123266,-0.5208675566110438
-115.60725750255737,-0.5904938907238247
-115.52345376388209,-0.6559755734380001
-115.4396500252068,-0.7168529916193648
-115.35584628653152,-0.7726988492698188
-115.27204254785623,-0.8231211666997271
-115.18823880918094,-0.8677660318166197
-115.10443507050566,-0.9063200842190529
-115.02063133183037,-0.9385127146598831
-114.93682759315509,-0.9641179644410145
-114.8530238544798,-0.9829561114078507
-114.76922011580452,-0.994894931411421
-114.68541637712923,-0.9998506263840354
-114.60161263845394,-0.9977884125143422
-114.51780889977866,-0.9887227643934141
-114.43400516110337,-0.9727173134182121
-114.35020142242809,-0.9498844011655277
-114.2663976837528,-0.9203842908712538
-114.18259394507751,-0.8844240425495767
-114.09879020640223,-0.8422560596475802
-114.01498646772694,-0.7941763174362308
-113.93118272905166,-0.7405222855725927
-113.84737899037637,-0.6816705594147172
-113.76357525170107,-0.6180342167148994
-113.6797715130258,-0.5500599182446323
-113.5959677743505,-0.4782247727016055
-113.51216403567523,-0.4030329879043075
-113.42836029699993,-0.3250123317786889
-113.34455655832464,-0.24471042797782036
-113.26075281964935,-0.1626909121347198
-113.17694908097407,-0.07952947572798219
-113.09314534229878,0.004190174672133621
-113.0093416036235,0.08788041441519086
-112.92553786494821,0.1709538252828985
-112.84173412627293,0.2528273185524965
-112.75793038759764,0.3329262276715966
-112.67412664892235,0.4106883418181692
-112.59032291024707,0.4855678520342909
-112.50651917157178,0.5570391822359082
-112.4227154328965,0.6246006782089237
-112.33891169422121,0.687778128698699
-112.25510795554592,0.7461280938785971
-112.17130421687064,0.799241017835186
-112.08750047819535,0.8467441032237024
-112.00369673952007,0.8883039279166925
-111.91989300084478,0.923628785279684
-111.8360892621695,0.9524707316475938
-111.75228552349421,0.9746273266307244
-111.66848178481892,0.989943054035212
-111.58467804614364,0.9983104134245493
-111.50087430746835,0.9996706746605579
-111.41707056879306,0.9940142901277201
-111.33326683011778,0.981380961747484
-111.2494630914425,0.9618593623121724
-111.16565935276721,0.9355865130944415
-111.08185561409192,0.9027468221008198
-110.99805187541664,0.8635707897197866
-110.91424813674135,0.8183333908493899
-110.83044439806606,0.7673521448601821
-110.74664065939078,0.7109848869403185
-110.66283692071549,0.6496272564656557
-110.5790331820402,0.5837099200238705
-110.49522944336492,0.5136955485840746
-110.41142570468963,0.4400755700290439
-110.32762196601433,0.36336671984388486
-110.24381822733906,0.2841074141718011
-110.16001448866376,0.20285397069403388
-110.07621074998849,0.1201767038600203
-109.99240701131319,0.036655921874411676
-109.9086032726379,-0.04712214646122066
-109.82479953396262,-0.13056946646345974
-109.74099579528733,-0.2131003249573001
-109.65719205661205,-0.2941354413719211
-109.57338831793676,-0.3731060336862719
-109.48958457926148,-0.4494578106857843
-109.40578084058619,-0.5226548625087336
-109.3219771019109,-0.5921834221746692
-109.23817336323562,-0.6575554716929066
-109.15436962456033,-0.7183121674399608
-109.07056588588505,-0.7740270607633418
-108.98676214720976,-0.8243090912064329
-108.90295840853447,-0.8688053313451328
-108.81915466985919,-0.9072034639703718
-108.7353509311839,-0.9392339742292628
-108.65154719250862,-0.9646720413383433
